admin1,admin2,admin3,location,latitude,longitude,year,month,casualties,num_events,min_distance_to_battlefront,hazard_score,pca_hazard_score,hazard_score_tsne
Chernihiv,Novhorod-Siverskyi,Semenivska,Yanzhulivka,52.2935,32.56,2023,3,0,2,512.100026036229,21.73913043478261,20.361357125280858,2.762072
Chernihiv,Novhorod-Siverskyi,Semenivska,Yanzhulivka,52.2935,32.56,2023,4,2,3,512.100026036229,22.620488105004103,20.7736614073862,7.020161
Chernihiv,Novhorod-Siverskyi,Semenivska,Zaliznyi Mist,52.2129,32.7025,2023,4,0,1,498.9488967039596,20.869565217391305,20.05290049308087,3.293111
Chernihiv,Novhorod-Siverskyi,Semenivska,Zaricha,52.2809,32.4436,2023,3,0,1,516.4229379048792,20.869565217391305,20.054766217497843,2.0379581
Chernihiv,Novhorod-Siverskyi,Semenivska,Zaricha,52.2809,32.4436,2023,4,0,1,516.4229379048792,20.869565217391305,20.054766217497843,2.0379581
Crimea,Bakhchysaraiskyi,Bakhchysaraiska,Bakhchysarai,44.7507,33.8642,2023,3,0,1,480.08367653608224,20.869565217391305,20.05088623081068,4.2999988
Crimea,Bakhchysaraiskyi,Poshtivska,Poshtove,44.8345,33.9616,2023,2,0,1,468.01715505324006,20.869565217391305,20.049597873784414,4.929739
Crimea,Dzhankoiskyi,Dzhankoiska,Dzhankoy,45.7095,34.3891,2023,3,0,1,371.5954080939098,20.869565217391308,20.039302807774177,28.603722
Crimea,Feodosiiskyi,Abrykosivska,Krynychky,45.0706,35.1056,2023,4,0,1,396.4793712552426,20.869565217391305,20.04195969848007,14.10926
Crimea,Feodosiiskyi,Feodosiiska,Feodosia,45.0347,35.3795,2023,4,0,1,389.8096708585459,20.869565217391305,20.0412475665387,14.622216
Crimea,Kerchenskyi,Semysotska,Soliane,45.3288,35.412,2023,1,0,1,359.6970999423667,20.869565217391315,20.038032411087816,28.995117
Crimea,Perekopskyi,Armianska,Armyansk,46.1145,33.69,2023,2,0,1,380.73949686076,20.869565217391305,20.04027913314088,14.950378
Crimea,Simferopolskyi,Simferopolska,Simferopol,44.9502,34.1017,2023,1,2,3,451.10258944419564,22.620488105004103,20.767148637643135,16.455084
Crimea,Simferopolskyi,Simferopolska,Simferopol,44.9502,34.1017,2023,3,0,1,451.10258944419564,20.869565217391305,20.04779188524997,9.612686
Crimea,Simferopolskyi,Ukromnivska,Hvardiyske,45.0657,34.0051,2023,3,0,1,445.5920644255641,20.869565217391305,20.047203519859313,9.910686
Crimea,Yaltynskyi,Hurzufska,Hurzuf,44.55,34.2858,2023,3,0,1,479.4635860913667,20.869565217391305,20.050820023007336,4.3375316
Crimea,Yaltynskyi,Yaltynska,Yalta,44.4957,34.1637,2023,3,0,1,489.77201381437953,20.869565217391305,20.0519206662462,3.7742383
Crimea,Yevpatoriiskyi,Mizhvodnenska,Mizhvodne,45.586,32.8464,2023,3,0,1,468.44726881522797,20.869565217391305,20.049643797548622,4.9173145
Crimea,Yevpatoriiskyi,Yevpatoriiska,Yevpatoria,45.1928,33.3674,2023,3,0,1,468.0177104314234,20.869565217391305,20.049597933082815,4.9289503
Dnipropetrovsk,Dniprovskyi,Dniprovska,Dnipro,48.4593,35.0386,2023,1,46,3,166.33376323452046,52.87992505393284,53.052283387205506,63.881355
Dnipropetrovsk,Dniprovskyi,Dniprovska,Dnipro,48.4593,35.0386,2023,3,2,3,166.33376323452046,52.62049109166868,50.73674352722003,64.52224
Dnipropetrovsk,Dniprovskyi,Dniprovska,Dnipro,48.4593,35.0386,2023,4,2,1,166.33376323452046,50.88136065688607,50.12263858664439,40.18751
Dnipropetrovsk,Kamianskyi,Kamianska,Kamianske,48.5212,34.6114,2023,2,0,1,195.87242028724626,50.869565373109324,50.02054065280358,37.137455
Dnipropetrovsk,Kryvorizkyi,Kryvorizka,Kryvyi Rih,47.9093,33.3933,2023,1,1,1,300.9083217900646,20.87546144381067,20.084381368374245,31.686878
Dnipropetrovsk,Kryvorizkyi,Kryvorizka,Kryvyi Rih,47.9093,33.3933,2023,2,0,3,300.9083217900646,22.608695652178188,20.645860403041123,32.25428
Dnipropetrovsk,Kryvorizkyi,Kryvorizka,Kryvyi Rih,47.9093,33.3933,2023,3,0,2,300.9083217900646,21.739130434786883,20.338807932753305,32.19767
Dnipropetrovsk,Kryvorizkyi,Novolativska,Inhulets,47.7318,33.2506,2023,3,0,1,318.0807145146432,20.869565217392072,20.033588979511464,31.08341
Dnipropetrovsk,Nikopolskyi,Chervonohryhorivska,Chervonohryhorivka,47.619,34.5369,2023,1,0,12,238.86088494281944,55.43478261081096,48.402707756097044,25.01713
Dnipropetrovsk,Nikopolskyi,Chervonohryhorivska,Chervonohryhorivka,47.619,34.5369,2023,2,0,4,238.86088494281944,23.478260871680526,20.946287993794478,34.88593
Dnipropetrovsk,Nikopolskyi,Chervonohryhorivska,Chervonohryhorivka,47.619,34.5369,2023,3,2,7,238.86088494281944,41.098748976684625,36.97269721647546,72.55019
Dnipropetrovsk,Nikopolskyi,Chervonohryhorivska,Chervonohryhorivka,47.619,34.5369,2023,4,0,4,238.86088494281944,23.478260871680526,20.946287993794478,34.88593
Dnipropetrovsk,Nikopolskyi,Chervonohryhorivska,Kamyanske,47.617,34.4258,2023,1,0,1,245.94822531563088,20.8695652184326,20.025887306795454,33.953674
Dnipropetrovsk,Nikopolskyi,Chervonohryhorivska,Musiivka,47.6115,34.4494,2023,1,0,1,244.79568901562496,20.869565218559803,20.0257642491071,33.97564
Dnipropetrovsk,Nikopolskyi,Chervonohryhorivska,Prydniprovske,47.6187,34.4545,2023,3,1,1,244.03879709340637,20.875461445066772,20.078309340754064,34.002815
Dnipropetrovsk,Nikopolskyi,Marhanetska,Dobra Nadiya,47.5934,34.7015,2023,1,0,1,230.35002222319378,20.869565222345756,20.02422186787175,34.29708
Dnipropetrovsk,Nikopolskyi,Marhanetska,Dobra Nadiya,47.5934,34.7015,2023,2,0,1,230.35002222319378,20.869565222345756,20.02422186787175,34.29708
Dnipropetrovsk,Nikopolskyi,Marhanetska,Dobra Nadiya,47.5934,34.7015,2023,3,0,2,230.35002222319378,21.73913043973706,20.33127433815957,34.7893
Dnipropetrovsk,Nikopolskyi,Marhanetska,Illinka,47.5938,34.6648,2023,2,0,3,232.5592677229949,22.60869565614628,20.638562692249234,34.922436
Dnipropetrovsk,Nikopolskyi,Marhanetska,Marhanets,47.6354,34.6277,2023,1,0,17,232.19808466466628,59.782608699770634,49.93725871232874,88.16231
Dnipropetrovsk,Nikopolskyi,Marhanetska,Marhanets,47.6354,34.6277,2023,2,0,17,232.19808466466628,59.782608699770634,49.93725871232874,88.16231
Dnipropetrovsk,Nikopolskyi,Marhanetska,Marhanets,47.6354,34.6277,2023,3,2,15,232.19808466466628,58.05527071781822,49.42840558357062,88.09031
Dnipropetrovsk,Nikopolskyi,Marhanetska,Marhanets,47.6354,34.6277,2023,4,0,8,232.19808466466628,41.9565217432489,37.173786479738354,72.66216
Dnipropetrovsk,Nikopolskyi,Myrivska,Myrove,47.7697,34.7311,2023,1,0,5,217.55731194656835,39.347826104762916,36.25106585594496,72.2954
Dnipropetrovsk,Nikopolskyi,Myrivska,Myrove,47.7697,34.7311,2023,2,0,8,217.55731194656835,41.95652175693683,37.172223266808416,72.76684
Dnipropetrovsk,Nikopolskyi,Myrivska,Myrove,47.7697,34.7311,2023,3,0,3,217.55731194656835,22.60869566998031,20.636960915369315,35.05521
Dnipropetrovsk,Nikopolskyi,Myrivska,Myrove,47.7697,34.7311,2023,4,0,1,217.55731194656835,20.8695652351977,20.022855974793675,36.157593
Dnipropetrovsk,Nikopolskyi,Myrivska,Vyshchetarasivka,47.5673,34.8807,2023,1,0,3,221.3842396007292,22.608695664318276,20.637369521042395,35.02152
Dnipropetrovsk,Nikopolskyi,Myrivska,Vyshchetarasivka,47.5673,34.8807,2023,2,0,3,221.3842396007292,22.608695664318276,20.637369521042395,35.02152
Dnipropetrovsk,Nikopolskyi,Nikopolska,Nikopol,47.5712,34.3964,2023,1,1,16,250.57756081545264,58.91893970533139,49.68479454674635,88.12099
Dnipropetrovsk,Nikopolskyi,Nikopolska,Nikopol,47.5712,34.3964,2023,2,3,16,250.57756081545264,58.930732158161575,49.79004635856387,88.12031
Dnipropetrovsk,Nikopolskyi,Nikopolska,Nikopol,47.5712,34.3964,2023,3,0,14,250.57756081545264,57.17391304413369,49.01806370026195,25.081682
Dnipropetrovsk,Nikopolskyi,Nikopolska,Nikopol,47.5712,34.3964,2023,4,0,11,250.57756081545264,54.56521739195977,48.09690628939849,25.04067
Dnipropetrovsk,Nikopolskyi,Pokpovska,Oleksiivka,47.5955,34.2403,2023,1,0,1,258.98932734549834,20.869565217673927,20.027279720960077,33.66087
Dnipropetrovsk,Nikopolskyi,Pokpovska,Pokrovske,47.5429,34.1551,2023,1,0,3,267.506113059124,22.608695652294507,20.642294009000185,33.2229
Dnipropetrovsk,Nikopolskyi,Pokpovska,Pokrovske,47.5429,34.1551,2023,3,0,1,267.506113059124,20.869565217511898,20.028189068424542,33.31211
Dnipropetrovsk,Nikopolskyi,Pokpovska,Prymiske,47.6069,34.3421,2023,3,0,1,251.84294163249467,20.86956521796883,20.026516692753574,33.838337
Dnipropetrovsk,Novomoskovskyi,Novomoskovska,Novomoskovsk,48.638,35.2455,2023,3,0,2,147.84730146358726,51.73914940373233,50.32246542333455,61.783363
Dnipropetrovsk,Pavlohradskyi,Pavlohradska,Pavlohrad,48.5343,35.871,2023,2,9,1,104.83100843209279,50.92403154244304,50.484453204828945,44.19198
Dnipropetrovsk,Pavlohradskyi,Pavlohradska,Pavlohrad,48.5343,35.871,2023,3,0,1,104.83100843209279,50.87096550470719,50.0108200516501,44.656296
Dnipropetrovsk,Synelnykivskyi,Pokpovska,Pokrovske,47.9785,36.2256,2023,1,0,1,114.67167695550889,50.87008862779542,50.011870751676064,43.744526
Dnipropetrovsk,Synelnykivskyi,Pokpovska,Pokrovske,47.9785,36.2256,2023,3,0,2,114.67167695550889,51.73965384518672,50.31892322196388,62.775295
Dnipropetrovsk,Synelnykivskyi,Synelnykivska,Synelnykove,48.3204,35.5179,2023,2,0,1,137.2754327763014,50.869619815010964,50.01428418189894,42.39215
